Date_Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,dayOfWeek,Time,Hour,Min,Temperature,Dew Point,Humidity,Wind,Wind Speed,Condition,anHourAgo_Temp,anHourAgo_DewPoint,anHourAgo_Humid,anHourAgo_Wind,anHourAgo_WindSpeed,anHourAgo_Condition,halfHourAgo_Temp,halfHourAgo_DewPoint,halfHourAgo_Humid,halfHourAgo_Wind,halfHourAgo_WindSpeed,halfHourAgo_Condition,DaySession
2015-10-19 20:17:50,malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,Monday,20:17,20,17,29 °C,25 °C,79 %,SE,6 km/h,Haze,30 °C,25 °C,74 %,SE,4 km/h,Haze,29 °C,25 °C,79 %,SE,6 km/h,Haze,Evening
2015-10-19 20:28:42,indian,male,thin,32.0,no,no_kids,big,green,casual,white,short_sleeve,blue_jeans,long,clothes,6,9,no,Monday,20:28,20,28,29 °C,25 °C,79 %,SE,6 km/h,Haze,30 °C,25 °C,74 %,SE,4 km/h,Haze,29 °C,25 °C,79 %,SE,6 km/h,Haze,Evening
2015-10-19 20:58:31,malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,4,10,no,Monday,20:58,20,58,29 °C,24 °C,74 %,SE,6 km/h,Haze,29 °C,25 °C,79 %,SE,6 km/h,Haze,29 °C,25 °C,79 %,SE,6 km/h,Haze,Evening
2015-10-19 21:31:28,indian,male,thin,51.0,no,no_kids,unknown,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,Monday,21:31,21,31,28 °C,24 °C,79 %,ESE,4 km/h,Haze,29 °C,24 °C,74 %,SE,6 km/h,Haze,28 °C,24 °C,79 %,ESE,6 km/h,Haze,Evening
2015-10-19 21:40:28,indian,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no,Monday,21:40,21,40,28 °C,24 °C,79 %,ESE,4 km/h,Haze,29 °C,24 °C,74 %,SE,6 km/h,Haze,28 °C,24 °C,79 %,ESE,6 km/h,Haze,Evening
2015-10-19 23:45:38,unknown,male,fat,50.0,no,no_kids,small,white,casual,brown,unknown,blue_jeans,long,clothes,4,8,no,Monday,23:45,23,45,27 °C,24 °C,84 %,SSE,2 km/h,Haze,28 °C,25 °C,84 %,SE,4 km/h,Haze,28 °C,24 °C,79 %,ESE,2 km/h,Haze,Evening
2015-10-19 23:53:38,unknown,female,fat,45.0,no,no_kids,big,pink,traditional,blue,unknown,black,long,clothes,5,10,no,Monday,23:53,23,53,27 °C,24 °C,84 %,SSE,2 km/h,Haze,28 °C,25 °C,84 %,SE,4 km/h,Haze,28 °C,24 °C,79 %,ESE,2 km/h,Haze,Evening
2015-10-20 00:04:56,malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,Tuesday,00:04,00,04,27 °C,24 °C,84 %,WNW,4 km/h,Haze,28 °C,24 °C,79 %,ESE,2 km/h,Haze,27 °C,24 °C,84 %,SSE,2 km/h,Haze,Night
2015-10-20 00:24:01,indian,male,thin,49.0,no,no_kids,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,no,Tuesday,00:24,00,24,27 °C,24 °C,84 %,WNW,4 km/h,Haze,28 °C,24 °C,79 %,ESE,2 km/h,Haze,27 °C,24 °C,84 %,SSE,2 km/h,Haze,Night
2015-10-20 00:45:19,indian,male,thin,30.0,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no,Tuesday,00:45,00,45,27 °C,25 °C,89 %,WNW,2 km/h,Haze,27 °C,24 °C,84 %,SSE,2 km/h,Haze,27 °C,24 °C,84 %,WNW,4 km/h,Haze,Night
2015-10-20 01:17:50,chinese,male,moderate,33.0,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,unknown,5,7,no,Tuesday,01:17,01,17,27 °C,25 °C,89 %,N,2 km/h,Haze,27 °C,24 °C,84 %,WNW,4 km/h,Haze,27 °C,25 °C,89 %,WNW,2 km/h,Haze,Night
2015-10-20 03:07:16,foreigner ,female,fat,45.0,no,no_kids,big,red,unknown,black,short_sleeve,grey,short,unknown,4,8,no,Tuesday,03:07,03,07,26 °C,24 °C,89 %,NNE,4 km/h,Haze,26 °C,24 °C,89 %,N,2 km/h,Haze,26 °C,24 °C,89 %,N,2 km/h,Haze,Night
2015-10-20 07:23:12,unknown,male,moderate,37.0,no,no_kids,big,blue,casual,brown,short_sleeve,blue_jeans,long,unknown,4,8,no,Tuesday,07:23,07,23,25 °C,23 °C,89 %,NE,6 km/h,Haze,25 °C,23 °C,89 %,NNE,6 km/h,Haze,25 °C,23 °C,89 %,NE,4 km/h,Haze,Morning
2015-10-20 07:23:12,malay,female,moderate,42.18272841051314,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,Tuesday,07:23,07,23,25 °C,23 °C,89 %,NE,6 km/h,Haze,25 °C,23 °C,89 %,NNE,6 km/h,Haze,25 °C,23 °C,89 %,NE,4 km/h,Haze,Morning
2015-10-20 09:06:14,malay,male,moderate,32.0,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes,Tuesday,09:06,09,06,26 °C,23 °C,83 %,E,4 km/h,Haze,25 °C,23 °C,89 %,NE,7 km/h,Haze,26 °C,23 °C,83 %,NE,6 km/h,Haze,Morning
2015-10-20 10:05:17,malay,female,moderate,55.0,yes,young,big,red,casual,brown,long sleeve,grey,long,clothes,3,8,yes,Tuesday,10:05,10,05,29 °C,24 °C,74 %,SE,9 km/h,Haze,26 °C,23 °C,83 %,E,4 km/h,Haze,27 °C,23 °C,79 %,E,6 km/h,Haze,Morning
