No,Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,Age_Group
1,19/10/2015,20:17:50,malay,male,moderate,28.0,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,"(20, 30]"
2,19/10/2015,20:28:42,indian,male,thin,32.0,no,no_kids,big,green,casual,white,short_sleeve,blue_jeans,long,clothes,6,9,no,"(30, 40]"
3,19/10/2015,20:58:31,malay,female,moderate,30.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,4,10,no,"(20, 30]"
4,19/10/2015,21:31:28,indian,male,thin,51.0,no,no_kids,unknown,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,"(50, 60]"
5,19/10/2015,21:40:28,indian,male,moderate,34.0,no,no_kids,big,blue,casual,blue,short_sleeve,white,long,clothes,3,9,no,"(30, 40]"
6,19/10/2015,23:45:38,unknown,male,fat,50.0,no,no_kids,small,white,casual,brown,unknown,blue_jeans,long,clothes,4,8,no,"(40, 50]"
7,19/10/2015,23:53:38,unknown,female,fat,45.0,no,no_kids,big,pink,traditional,blue,unknown,black,long,clothes,5,10,no,"(40, 50]"
8,20/10/2015,0:24:01,indian,male,thin,49.0,no,no_kids,big,blue,casual,white,short_sleeve,brown,long,clothes,3,9,no,"(40, 50]"
9,20/10/2015,0:45:19,indian,male,thin,30.0,no,no_kids,small,purple,casual,white,short_sleeve,black,short,clothes,6,10,no,"(20, 30]"
10,20/10/2015,1:17:50,chinese,male,moderate,33.0,no,no_kids,small,pink,casual,white,short_sleeve,blue_jeans,short,unknown,5,7,no,"(30, 40]"
11,20/10/2015,3:07:16,foreigner ,female,fat,45.0,no,no_kids,big,red,unknown,black,short_sleeve,grey,short,unknown,4,8,no,"(40, 50]"
12,20/10/2015,7:23:12,unknown,male,moderate,37.0,no,no_kids,big,blue,casual,brown,short_sleeve,blue_jeans,long,unknown,4,8,no,"(30, 40]"
13,20/10/2015,7:23:12,malay,female,moderate,42.18272841051314,no,no_kids,big,blue,casual,blue,long sleeve,blue_jeans,long,clothes,3,7,no,"(40, 50]"
14,20/10/2015,9:06:14,malay,male,moderate,32.0,no,no_kids,big,yellow,casual,yellow,short_sleeve,black,long,clothes,3,9,yes,"(30, 40]"
15,20/10/2015,10:05:17,malay,female,moderate,55.0,yes,young,big,red,casual,brown,long sleeve,grey,long,clothes,3,8,yes,"(50, 60]"
16,20/10/2015,10:41:35,unknown,male,thin,33.0,no,no_kids,big,brown,formal,blue,long sleeve,brown,long,clothes,5,9,no,"(30, 40]"
17,20/10/2015,10:49:31,malay,female,thin,55.0,yes,toddler ,big,blue,casual,brown,long sleeve,grey,long,clothes,4,7,no,"(50, 60]"
18,20/10/2015,10:57:47,malay,male,fat,37.0,yes,toddler,big,blue,casual,grey,unknown,grey,long,clothes,5,9,no,"(30, 40]"
19,20/10/2015,11:13:26,malay,female,fat,55.0,yes,unknown,big,blue,traditional,orange,long sleeve,orange,long,clothes,6,7,yes,"(50, 60]"
20,20/10/2015,11:19:20,malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,"(40, 50]"
21,20/10/2015,11:27:26,indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,"(30, 40]"
22,20/10/2015,11:27:57,unknown,male,moderate,53.0,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,"(50, 60]"
23,20/10/2015,11:28:43,malay,female,fat,38.0,yes,young,big,white,casual,red,unknown,blue  ,long,blankets,3,7,no,"(30, 40]"
24,20/10/2015,13:36:46,chinese,female,thin,29.0,no,no_kids,small,white,casual,brown,short_sleeve,black ,long,blankets,3,7,yes,"(20, 30]"
25,20/10/2015,12:10:46,chinese,female,moderate,44.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,5,7,no,"(40, 50]"
26,20/10/2015,13:44:03,chinese,female,moderate,42.0,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,"(40, 50]"
27,20/10/2015,13:47:46,chinese,male,thin,41.0,no,no_kids,big,white,unknown,black,unknown,brown,long,clothes,6,9,no,"(40, 50]"
28,20/10/2015,14:39:57,chinese,male,thin,36.0,yes,young,big,red,unknown,grey,unknown,white,short,blankets,5,9,yes,"(30, 40]"
29,20/10/2015,14:54:19,indian,male,fat,39.0,no,no_kids,big,blue,unknown,black,unknown,blue_jeans,long,clothes,4,10,no,"(30, 40]"
30,20/10/2015,14:54:19,indian,male,thin,42.0,no,no_kids,big,blue,unknown,black,short_sleeve,blue_jeans,long,clothes,6,9,no,"(40, 50]"
31,20/10/2015,15:26:05,malay,female,fat,32.0,no,no_kids,big,purple,unknown,purple,long sleeve,black,long,clothes,3,7,no,"(30, 40]"
32,20/10/2015,15:45:51,chinese,male,thin,40.0,yes,toddler,big,red,casual,white,short_sleeve,white,short,clothes,5,9,yes,"(30, 40]"
33,20/10/2015,15:52:41,foreigner ,male,moderate,39.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no,"(30, 40]"
34,20/10/2015,16:01:30,malay,female,fat,55.0,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,"(50, 60]"
35,20/10/2015,16:34:06,chinese,male,thin,46.0,no,no_kids,big,red,casual,purple,short_sleeve,black,unknown,clothes,4,7,no,"(40, 50]"
36,20/10/2015,18:14:37,malay,female,thin,46.0,no,no_kids,small,white,casual,white,short_sleeve,grey,unknown,clothes,6,10,no,"(40, 50]"
37,20/10/2015,18:34:26,malay,male,fat,35.0,no,no_kids,big,blue,formal,white,short_sleeve,brown,unknown,clothes,4,7,yes,"(30, 40]"
38,20/10/2015,18:37:46,chinese,female,thin,35.0,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,"(30, 40]"
39,20/10/2015,18:48:34,malay,female,thin,41.0,no,no_kids,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,"(40, 50]"
40,20/10/2015,18:57:46,malay,female,fat,31.0,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,"(30, 40]"
41,20/10/2015,18:57:46,malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,"(30, 40]"
42,20/10/2015,20:09:18,malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,blankets,4,8,no,"(30, 40]"
43,20/10/2015,20:21:03,malay,male,thin,33.0,no,no_kids,big,red,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,"(30, 40]"
44,20/10/2015,20:21:03,malay,female,fat,51.0,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,"(50, 60]"
45,20/10/2015,20:21:03,foreigner ,female,moderate,46.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,blankets,3,7,no,"(40, 50]"
46,20/10/2015,20:32:37,malay,female,moderate,51.0,no,no_kids,big,black,casual,red,long sleeve,red,long,clothes,6,8,no,"(50, 60]"
47,20/10/2015,20:44:46,indian,male,fat,48.0,no,no_kids,big,purple,casual,red,short_sleeve,black,short,clothes,5,7,no,"(40, 50]"
48,20/10/2015,20:48:32,malay,female,fat,28.0,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,"(20, 30]"
49,20/10/2015,21:39:30,indian,male,moderate,49.0,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,4,8,no,"(40, 50]"
50,20/10/2015,21:44:10,indian,male,fat,48.0,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,5,10,no,"(40, 50]"
